family,pattern_id,supported,total_count,success_count,failure_count,failure_rate,failure_lift,dominant_failure_key,dominant_failure_count,mean_reward,mean_steps,termination_counts,failure_key_counts,failure_key_lifts
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,105,0,105,1.0,8.443187498355739,collision_tblock_early,105,-10.287982809631835,1.0,"{""collision"": 105}","{""collision_tblock_early"": 105}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 14.453231254222022, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,100,0,100,1.0,8.443187498355739,collision_tblock_early,100,-10.28211196998765,1.0,"{""collision"": 100}","{""collision_tblock_early"": 100}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 14.45323125422202, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,220,1,219,0.9954545454545455,8.404809373363214,collision_tblock_early,216,-10.29578429530025,1.0227272727272727,"{""collision"": 218, ""fall"": 1, ""success"": 1}","{""collision_rod_early"": 2, ""collision_tblock_early"": 216, ""fall"": 1}","{""collision_rod_early"": 0.7809373175004867, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 14.190445231417986, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 3.601952861952862, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,349,3,346,0.9914040114613181,8.370609955389929,collision_tblock_early,344,-10.348051361416768,1.0630372492836677,"{""collision"": 345, ""success"": 3, ""timeout"": 1}","{""collision_rod_early"": 1, ""collision_tblock_early"": 344, ""timeout"": 1}","{""collision_rod_early"": 0.24614070179098435, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 14.246164903875002, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.08494980710310554}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,221,2,219,0.9909502262443439,8.366778561719036,collision_tblock_early,217,-10.30460280103098,1.0361990950226245,"{""collision"": 219, ""success"": 2}","{""collision_rod_early"": 2, ""collision_tblock_early"": 217}","{""collision_rod_early"": 0.7774036644801225, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 14.191634308444247, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,110,13,97,0.8818181818181818,7.445356248550061,collision_tblock_early,95,-9.615174710549692,1.3363636363636364,"{""collision"": 96, ""success"": 13, ""timeout"": 1}","{""collision_rod_early"": 1, ""collision_tblock_early"": 95, ""timeout"": 1}","{""collision_rod_early"": 0.7809373175004867, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 12.482336083191745, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.26952256980894396}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,263,42,221,0.8403041825095057,7.094845768580298,collision_tblock_early,220,-9.35329583137393,1.4068441064638784,"{""collision"": 221, ""success"": 42}","{""collision_rod_early"": 1, ""collision_tblock_early"": 220}","{""collision_rod_early"": 0.3266277753804317, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 12.090155421782681, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,299,51,248,0.8294314381270903,7.003045149137871,collision_tblock_early,245,-9.3592916010771,1.4448160535117056,"{""collision"": 248, ""success"": 51}","{""collision_rod_early"": 3, ""collision_tblock_early"": 245}","{""collision_rod_early"": 0.8619040627931792, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 11.842948686569885, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,633,171,462,0.7298578199052133,6.162326420600871,collision_tblock_early,436,-8.695812488781788,2.023696682464455,"{""collision"": 445, ""success"": 171, ""timeout"": 17}","{""collision_rod_early"": 8, ""collision_tblock_early"": 436, ""collision_tblock_mid"": 1, ""timeout"": 17}","{""collision_rod_early"": 1.085663253397201, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 9.955148225656874, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 2.243383802373862, ""fall"": 0.0, ""timeout"": 0.79621991396955}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,412,126,286,0.6941747572815534,5.861047632353742,collision_tblock_early,280,-8.630025571983891,1.7597087378640777,"{""collision"": 286, ""success"": 126}","{""collision_rod_early"": 5, ""collision_rod_mid"": 1, ""collision_tblock_early"": 280}","{""collision_rod_early"": 1.0425134092846302, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 1.5864888379174658, ""collision_tblock_early"": 9.82258434752953, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
