family,pattern_id,supported,total_count,success_count,failure_count,failure_rate,failure_lift,dominant_failure_key,dominant_failure_count,mean_reward,mean_steps,termination_counts,failure_key_counts,failure_key_lifts
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,192,0,192,1.0,7.324063846836897,collision_tblock_early,190,-10.257544362237276,1.0,"{""collision"": 192}","{""collision_rod_early"": 2, ""collision_tblock_early"": 190}","{""collision_rod_early"": 1.1530755591925805, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.328745498971195, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,175,0,175,1.0,7.324063846836896,collision_tblock_early,175,-10.28918874041568,1.0,"{""collision"": 175}","{""collision_tblock_early"": 175}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.437469135802468, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,175,0,175,1.0,7.324063846836896,collision_tblock_early,175,-10.318296566776075,1.0057142857142858,"{""collision"": 175}","{""collision_tblock_early"": 175}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.437469135802468, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,153,0,153,1.0,7.324063846836896,collision_tblock_early,152,-10.283244772772841,1.0065359477124183,"{""collision"": 153}","{""collision_rod_early"": 1, ""collision_tblock_early"": 152}","{""collision_rod_early"": 0.7234983900816192, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.369250383280884, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,130,0,130,1.0,7.324063846836896,collision_tblock_early,130,-10.266167041904266,1.0,"{""collision"": 130}","{""collision_tblock_early"": 130}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.43746913580247, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,101,0,101,1.0,7.324063846836896,collision_tblock_early,101,-10.290730459311716,1.0,"{""collision"": 101}","{""collision_tblock_early"": 101}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.43746913580247, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,101,0,101,1.0,7.324063846836896,collision_tblock_early,101,-10.25340415235658,1.0,"{""collision"": 101}","{""collision_tblock_early"": 101}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.43746913580247, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=2|pair_side_mode=opposite_side|min_pair_dist_bin=close,True,537,2,535,0.9962756052141527,7.296786141634524,collision_tblock_early,533,-10.295732512557246,1.0148975791433892,"{""collision"": 535, ""success"": 2}","{""collision_rod_early"": 2, ""collision_tblock_early"": 533}","{""collision_rod_early"": 0.4122728256331014, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.35972262454882, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,1461,8,1453,0.9945242984257358,7.2839594589007595,collision_tblock_early,1450,-10.259136043406764,1.0212183436002737,"{""collision"": 1452, ""success"": 8, ""timeout"": 1}","{""collision_rod_early"": 2, ""collision_tblock_early"": 1450, ""timeout"": 1}","{""collision_rod_early"": 0.15153354371319336, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.358884494807379, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.02418172670517163}"
layout_basic,start_region=x_neg__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,161,1,160,0.9937888198757764,7.278572767042879,collision_tblock_early,157,-10.289869659936976,1.0248447204968945,"{""collision"": 159, ""fall"": 1, ""success"": 1}","{""collision_rod_early"": 2, ""collision_tblock_early"": 157, ""fall"": 1}","{""collision_rod_early"": 1.3750963190371148, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.178153132428495, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 5.290830295539528, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=high|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,338,3,335,0.9911242603550295,7.259057362989231,collision_tblock_early,335,-10.252984678680704,1.0236686390532543,"{""collision"": 335, ""success"": 3}","{""collision_tblock_early"": 335}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.344828877200673, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.0}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,1423,13,1410,0.9908643710470836,7.257153917104725,collision_tblock_early,1403,-10.289363762078361,1.0302178496134926,"{""collision"": 1409, ""fall"": 1, ""success"": 13}","{""collision_rod_early"": 6, ""collision_tblock_early"": 1403, ""fall"": 1}","{""collision_rod_early"": 0.46674035284253435, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.290772450829843, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.5986111578228138, ""timeout"": 0.0}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=medium|medhigh_count_bin=1|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,975,13,962,0.9866666666666667,7.226409662212404,collision_tblock_early,960,-10.257986673214734,1.0471794871794873,"{""collision"": 961, ""fall"": 1, ""success"": 13}","{""collision_rod_early"": 1, ""collision_tblock_early"": 960, ""fall"": 1}","{""collision_rod_early"": 0.11353359352050024, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 10.276892687559355, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.8736653103403733, ""timeout"": 0.0}"
