family,pattern_id,supported,total_count,success_count,failure_count,failure_rate,failure_lift,dominant_failure_key,dominant_failure_count,mean_reward,mean_steps,termination_counts,failure_key_counts,failure_key_lifts
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,124,63,61,0.49193548387096775,5.885973889638544,collision_tblock_early,52,-6.884578859186444,2.3548387096774195,"{""collision"": 56, ""fall"": 1, ""success"": 63, ""timeout"": 4}","{""collision_rod_early"": 4, ""collision_tblock_early"": 52, ""fall"": 1, ""timeout"": 4}","{""collision_rod_early"": 2.8851483906800084, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 11.562576116163276, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 6.493387096774194, ""timeout"": 0.9957273677246223}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,146,96,50,0.3424657534246575,4.097578948546931,collision_tblock_early,49,-5.682946790162467,2.4726027397260273,"{""collision"": 49, ""success"": 96, ""timeout"": 1}","{""collision_tblock_early"": 49, ""timeout"": 1}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 9.253716080322452, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.21142156437988555}"
layout_basic,start_region=x_neg__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=medium,True,136,118,18,0.1323529411764706,1.5835937465854906,collision_tblock_early,9,-4.0216560572257105,3.198529411764706,"{""collision"": 12, ""success"": 118, ""timeout"": 6}","{""collision_rod_early"": 3, ""collision_tblock_early"": 9, ""timeout"": 6}","{""collision_rod_early"": 1.9729323553914762, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 1.8246372943492952, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.3618036058586747}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=center_involved|min_pair_dist_bin=far,True,421,371,50,0.1187648456057007,1.4210131270495296,collision_rod_early,22,-4.2810520211008765,3.137767220902613,"{""collision"": 37, ""success"": 371, ""timeout"": 13}","{""collision_rod_early"": 22, ""collision_tblock_early"": 15, ""timeout"": 13}","{""collision_rod_early"": 4.673803331220347, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.9823858750257488, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.9531547011710757}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=center_involved|min_pair_dist_bin=far,True,1160,1027,133,0.1146551724137931,1.3718411728083502,timeout,48,-4.287237811936504,3.2379310344827585,"{""collision"": 82, ""fall"": 3, ""success"": 1027, ""timeout"": 48}","{""collision_rod_early"": 33, ""collision_rod_mid"": 4, ""collision_tblock_early"": 44, ""collision_tblock_mid"": 1, ""fall"": 3, ""timeout"": 48}","{""collision_rod_early"": 2.544402416953145, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 2.4301818456198596, ""collision_tblock_early"": 1.045845744194079, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 1.341296018657338, ""fall"": 2.082362068965517, ""timeout"": 1.2772778648053777}"
layout_basic,start_region=x_pos__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,20729,18371,2358,0.11375367842153505,1.3610548598179895,collision_tblock_early,1586,-4.089713051283643,2.955907183173332,"{""collision"": 1823, ""fall"": 15, ""success"": 18371, ""timeout"": 520}","{""collision_rod_early"": 208, ""collision_rod_late"": 2, ""collision_rod_mid"": 15, ""collision_tblock_early"": 1586, ""collision_tblock_late"": 2, ""collision_tblock_mid"": 10, ""fall"": 15, ""timeout"": 520}","{""collision_rod_early"": 0.8974594444066137, ""collision_rod_late"": 0.3699349197926071, ""collision_rod_mid"": 0.509975928816942, ""collision_tblock_early"": 2.1095886377215263, ""collision_tblock_late"": 0.5754543196773888, ""collision_tblock_mid"": 0.7505925908835507, ""fall"": 0.5826474986733562, ""timeout"": 0.7743318620155779}"
layout_basic,start_region=x_neg__y_pos|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,19478,17267,2211,0.11351268097340589,1.3581713420932753,collision_tblock_early,1170,-4.1366667622431015,3.172142930485676,"{""collision"": 1504, ""fall"": 75, ""success"": 17267, ""timeout"": 632}","{""collision_rod_early"": 295, ""collision_rod_late"": 4, ""collision_rod_mid"": 18, ""collision_tblock_early"": 1170, ""collision_tblock_late"": 2, ""collision_tblock_mid"": 15, ""fall"": 75, ""timeout"": 632}","{""collision_rod_early"": 1.354588871176131, ""collision_rod_late"": 0.7873889467482239, ""collision_rod_mid"": 0.6512757590171305, ""collision_tblock_early"": 1.656206354045361, ""collision_tblock_late"": 0.6124136252486185, ""collision_tblock_mid"": 1.1982005711386017, ""fall"": 3.1003439778211317, ""timeout"": 1.0015551180029163}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,19521,17313,2208,0.11310895958198863,1.3533408436915908,collision_tblock_early,1248,-4.085963063717006,3.139132216587265,"{""collision"": 1637, ""fall"": 44, ""success"": 17313, ""timeout"": 527}","{""collision_rod_early"": 340, ""collision_rod_late"": 5, ""collision_rod_mid"": 25, ""collision_tblock_early"": 1248, ""collision_tblock_late"": 5, ""collision_tblock_mid"": 14, ""fall"": 44, ""timeout"": 527}","{""collision_rod_early"": 1.5577820827707232, ""collision_rod_late"": 0.9820681512705486, ""collision_rod_mid"": 0.9025571630932833, ""collision_tblock_early"": 1.7627286779213107, ""collision_tblock_late"": 1.5276615686430757, ""collision_tblock_mid"": 1.115857145791464, ""fall"": 1.814861943547974, ""timeout"": 0.8333178631482585}"
layout_basic,start_region=x_neg__y_neg|path_len_bin=long|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=opposite_side|min_pair_dist_bin=far,True,19878,17816,2062,0.10373276989636784,1.2411553854693136,collision_tblock_early,844,-3.74433113342308,3.214709729349029,"{""collision"": 1308, ""fall"": 15, ""success"": 17816, ""timeout"": 739}","{""collision_rod_early"": 356, ""collision_rod_late"": 13, ""collision_rod_mid"": 78, ""collision_tblock_early"": 844, ""collision_tblock_late"": 2, ""collision_tblock_mid"": 15, ""fall"": 15, ""timeout"": 739}","{""collision_rod_early"": 1.6017958365803688, ""collision_rod_late"": 2.5075196795691816, ""collision_rod_mid"": 2.765404635673671, ""collision_tblock_early"": 1.1706921509798074, ""collision_tblock_late"": 0.600090179725958, ""collision_tblock_mid"": 1.1740894820725265, ""fall"": 0.6075913069725325, ""timeout"": 1.1475560049906115}"
layout_basic,start_region=x_pos__y_neg|path_len_bin=medium|num_obstacles_bin=2|max_blockage_bin=low|medhigh_count_bin=0|pair_side_mode=same_side|min_pair_dist_bin=far,True,346,311,35,0.10115606936416185,1.210325342605481,timeout,15,-2.920846306733975,3.023121387283237,"{""collision"": 20, ""success"": 311, ""timeout"": 15}","{""collision_rod_early"": 14, ""collision_rod_mid"": 1, ""collision_tblock_early"": 5, ""timeout"": 15}","{""collision_rod_early"": 3.618943357095733, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 2.0368576162709804, ""collision_tblock_early"": 0.39844359671082874, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.3381885144275993}"
