round,ep,accepted,train_sr,deployed,realized,lv,infeasible,boundary
1,5000,0,0.036,0.025,0.073,0.059,0.500,nan
2,10000,0,0.235,0.275,0.138,0.107,0.225,nan
3,15000,0,0.511,0.500,0.123,0.093,0.325,nan
4,20000,0,0.653,0.700,0.125,0.096,0.325,nan
5,25000,0,0.727,0.775,0.144,0.106,0.275,nan
6,30000,1,0.785,0.800,0.150,0.115,0.225,nan
7,35000,1,0.858,0.675,0.142,0.107,0.275,nan
8,40000,1,0.903,1.000,0.254,0.181,0.000,nan
9,45000,1,0.927,0.950,0.173,0.134,0.000,nan
10,50000,1,0.939,0.925,0.212,0.155,0.025,nan
11,55000,1,0.943,0.925,0.283,0.192,0.000,nan
12,60000,1,0.950,0.975,0.298,0.185,0.050,nan
13,65000,0,0.971,1.000,0.327,0.198,0.000,nan
14,70000,1,0.971,1.000,0.317,0.200,0.000,nan
15,75000,1,0.979,0.925,0.317,0.194,0.050,nan
16,80000,1,0.981,1.000,0.331,0.210,0.000,nan
17,85000,1,0.983,0.975,0.279,0.179,0.025,nan
18,90000,0,0.983,1.000,0.192,0.145,0.075,nan
19,95000,1,0.978,0.975,0.229,0.160,0.025,nan
20,100000,0,0.989,1.000,0.463,0.225,0.025,nan
21,105000,1,0.988,1.000,0.481,0.231,0.000,nan
22,110000,1,0.989,0.975,0.235,0.164,0.025,nan
23,115000,1,0.980,1.000,0.242,0.165,0.050,nan
24,120000,1,0.987,1.000,0.329,0.207,0.000,nan
25,125000,0,0.988,1.000,0.300,0.193,0.000,nan
26,130000,0,0.987,1.000,0.290,0.195,0.000,nan
